country,year,co2,gdp,population,co2_per_capita,gdp_per_capita,co2_intensity_per_gdp
Togo,2022,2.682,14265659392.0,9089742.0,0.295,1569.424015775145,0.00018800392791545488
Thailand,2022,272.573,1124143726592.0,71735320.0,3.8,15670.71460184467,0.00024247166403387172
Tanzania,2022,17.736,198220414976.0,64711821.0,0.274,3063.125282411694,8.947615210142421e-05
Tajikistan,2022,8.966,50544009216.0,10182229.0,0.881,4963.943476030641,0.00017738996448983237
Taiwan,2022,273.669,1247874383872.0,23420107.0,11.685,53282.1811562176,0.00021930813192177156
United Arab Emirates,2022,225.977,779701518336.0,10242085.0,22.064,76127.22588574495,0.00028982500955271806
Syria,2022,25.314,52353138688.0,22462170.0,1.127,2330.724889358419,0.0004835240185093676
Switzerland,2022,32.819,559384952832.0,8792180.0,3.733,63623.009632650836,5.866979409054024e-05
Sweden,2022,37.474,494214545408.0,10487333.0,3.573,47124.90252841213,7.582536845220378e-05
Sri Lanka,2022,19.903,254748606464.0,22834964.0,0.872,11156.076552781078,7.812800343154225e-05
Spain,2022,234.657,1625139970048.0,47828386.0,4.906,33978.56599317401,0.000144391870438747
South Korea,2022,602.092,2137558614016.0,51782514.0,11.627,41279.54494476649,0.00028167274387334916
South Africa,2022,405.312,723559317504.0,62378419.0,6.498,11599.513567408625,0.0005601641637318275
Slovenia,2022,12.701,69385347072.0,2115230.0,6.005,32802.74347092278,0.0001830501760958317
Slovakia,2022,31.55,150360424448.0,5473194.0,5.765,27472.153270649644,0.00020982914963046752
Singapore,2022,47.873,461801127936.0,5649886.0,8.473,81736.36210288136,0.00010366583601466347
Sierra Leone,2022,1.278,11681270784.0,8276808.0,0.154,1411.3255718871333,0.00010940590485672967
Seychelles,2022,0.554,3053368064.0,125532.0,4.411,24323.424019373546,0.00018143898422591222
Senegal,2022,12.275,51913994240.0,17651099.0,0.695,2941.119657195283,0.0002364487683851159
Nepal,2022,16.089,95965913088.0,29715434.0,0.541,3229.497273639012,0.00016765327898507577
Namibia,2022,4.085,21858732032.0,2889668.0,1.414,7564.44409253935,0.00018688183715413048
Myanmar,2022,29.533,291025092608.0,53756790.0,0.549,5413.7364341881275,0.00010147922206756191
Japan,2022,1032.687,4774494732288.0,124997586.0,8.262,38196.695512887745,0.00021629241582702988
Jamaica,2022,7.137,20019224576.0,2839151.0,2.514,7051.130628839396,0.00035650731490150596
Italy,2022,340.672,2136009342976.0,59619106.0,5.714,35827.59766602337,0.00015948993908676353
Israel,2022,60.946,336722558976.0,9103144.0,6.695,36989.6992704938,0.0001809976741247798
Ireland,2022,36.711,308390920192.0,5110013.0,7.184,60350.32008568275,0.00011904046972960238
Iraq,2022,171.279,527639314432.0,44070556.0,3.886,11972.603986026408,0.0003246137945281439
Iran,2022,800.747,1572209033216.0,89524247.0,8.944,17561.823594182257,0.0005093133184472604
Indonesia,2022,737.073,3500093472768.0,278830529.0,2.643,12552.762731257451,0.00021058666168052254
India,2022,2831.166,10476248367104.0,1425423212.0,1.986,7349.570484687743,0.00027024617026931305
Iceland,2022,3.613,16019539968.0,380368.0,9.499,42115.8982038447,0.00022553706331250375
Hungary,2022,44.843,285385228288.0,9684306.0,4.63,29468.836309798553,0.00015713146846810916
Hong Kong,2022,31.532,356690493440.0,7465914.0,4.223,47775.86420631151,8.840157105365661e-05
Honduras,2022,10.482,49738256384.0,10463881.0,1.002,4753.327793387559,0.00021074321381663654
Venezuela,2022,87.515,149682061312.0,28213016.0,3.102,5305.42574079992,0.0005846726002629142
Haiti,2022,3.381,17550917632.0,11503604.0,0.294,1525.6886130642188,0.00019263950016126425
Guinea-Bissau,2022,0.309,3259313920.0,2105537.0,0.147,1547.9727594433155,9.48052282119545e-05
Guinea,2022,4.194,23678257152.0,14055137.0,0.298,1684.6692530994185,0.00017712452285136837
Guatemala,2022,19.114,146224644096.0,17847877.0,1.071,8192.831231187889,0.00013071667992880324
Greece,2022,58.08,263892680704.0,10412481.0,5.578,25343.881127274086,0.00022008946911697972
Ghana,2022,20.287,145431871488.0,33149151.0,0.612,4387.197472659254,0.00013949486995134996
